initial,13071,1,9146
zoomIn,6029,1,4831
zoomIn,5664,2,4757
zoomIn,5637,4,4130
initial,5561,1,4200
zoomIn,5575,1,3893
zoomIn,5499,2,3482
initial,25064,1,21069
zoomIn,15490,1,14242
zoomIn,21489,2,19802
zoomIn,19788,2,18082
initial,15324,1,12847
zoomIn,15428,1,14051
zoomIn,19347,2,17680
zoomIn,19463,2,18154
initial,15327,1,12741
zoomIn,13282,1,11969
zoomIn,19279,2,17348
zoomIn,19339,2,17564
initial,13329,1,12471
zoomIn,15258,1,14333
zoomIn,19385,2,17868
zoomIn,19328,2,17970
initial,15366,1,13742
zoomIn,13237,1,12423
zoomIn,19292,2,17850
zoomIn,19475,2,18115
initial,13230,1,12122
zoomIn,13233,1,11813
zoomIn,19316,2,17940
zoomIn,19286,2,17697
initial,13262,1,12135
zoomIn,15236,1,13865
zoomIn,21271,2,19474
zoomIn,19252,2,18339
initial,15266,1,13223
zoomIn,15210,1,12739
zoomIn,19342,2,17857
zoomIn,21260,2,20315
initial,13573,1,11488
zoomIn,13183,1,11885
zoomIn,21299,2,19566
zoomIn,19213,2,17122
initial,14250,1,13180
zoomIn,13286,1,11782
zoomIn,21364,2,19068
zoomIn,21269,2,18894
