initial,89025,1,84935
zoomIn,79875,1,77477
zoomIn,134282,2,131558
initial,81959,1,79017
zoomIn,78004,1,75171
zoomIn,128057,2,125769
initial,77831,1,76530
zoomIn,77754,1,75102
zoomIn,127795,2,125707
initial,75687,1,74241
zoomIn,73669,1,72643
zoomIn,125783,2,123846
initial,77753,1,75563
zoomIn,75738,1,74651
zoomIn,129760,2,128738
initial,81715,1,79041
zoomIn,75650,1,74724
zoomIn,125911,2,123851
initial,79636,1,78167
zoomIn,77578,1,75754
zoomIn,127759,2,125044
initial,77706,1,75498
zoomIn,77610,1,75444
zoomIn,127663,2,125951
initial,79622,1,77451
zoomIn,75589,1,74360
zoomIn,123793,2,121583
initial,75591,1,74420
zoomIn,75695,1,73849
zoomIn,129764,2,128554
