initial,35657,1,31292
zoomIn,24117,1,22512
zoomIn,33788,2,32750
zoomIn,36601,2,34005
initial,23651,1,21706
zoomIn,23536,1,20855
zoomIn,33563,2,31711
zoomIn,33568,2,32319
initial,23559,1,22390
zoomIn,23550,1,22606
zoomIn,33499,2,31896
zoomIn,34255,2,32327
initial,23523,1,21576
zoomIn,23447,1,21427
zoomIn,35515,2,33232
zoomIn,37546,2,35665
initial,23467,1,21561
zoomIn,23469,1,21103
zoomIn,33531,2,32002
zoomIn,33520,2,31869
initial,23453,1,21509
zoomIn,23480,1,21314
zoomIn,33574,2,32413
zoomIn,33630,2,31222
initial,23449,1,21551
zoomIn,23473,1,21428
zoomIn,33492,2,31644
zoomIn,35952,2,33987
initial,23480,1,21809
zoomIn,23471,1,22269
zoomIn,33463,2,32542
zoomIn,33565,2,32044
initial,25512,1,22967
zoomIn,21455,1,20448
zoomIn,33478,2,31805
zoomIn,34188,2,31864
initial,23414,1,22208
zoomIn,23409,1,20917
zoomIn,33504,2,31995
zoomIn,35506,2,32804
